"country","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"Denmark",0,3,3039,9356,11869,12968,14028,17410,28479,46863,81002,164116,199156,211883,231295,251249,281985,294503,317909,347028,360550,390727,492483,810772,1772901,2810800,3105402,3163284,3183525,3218395,3276295,3319834,3346163,3381223,3400329,3432465,3446409,3449989,3451036
"Djibouti",0,0,30,1089,3354,4682,5084,5387,5416,5561,5679,5831,5932,6066,8002,11100,11533,11602,11651,11750,12811,13478,13504,13656,15464,15547,15587,15611,15675,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690
"Dominica",0,0,12,16,16,18,18,20,30,50,85,88,117,142,161,174,188,193,210,1638,3481,4823,6028,6814,9032,11108,11859,12033,14184,14852,14852,14852,15747,15760,15760,15760,15760,15760,15760
"Dominican Republic",0,0,1109,6972,17285,32568,69649,94715,112209,127018,143988,170785,214060,239617,252727,266561,292786,325221,341905,350173,359047,381667,407251,418778,555245,574556,578020,579248,584029,605784,628213,638500,644356,647272,650381,655540,660095,660533,660790
"Ecuador",0,0,2240,24934,39098,56432,85355,113767,137047,168192,192685,212512,250828,286155,328755,381862,426037,458504,487372,501743,510177,517262,527333,549418,732038,827760,859890,869696,877282,909882,961345,995968,1003778,1008035,1011132,1040463,1051239,1056578,1057121
"Egypt",0,1,710,5537,24985,68311,94078,98939,103198,107555,115911,138062,165951,182424,202131,227552,262650,281282,284262,288441,304524,331017,358578,385575,425911,483771,505264,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515698,515759
"El Salvador",0,0,32,395,2517,6438,16632,25729,29077,33826,38941,46242,54966,60181,64726,69198,73702,78766,86620,94060,104348,113422,119803,121945,135109,156364,161052,162089,162755,169646,190818,201785,201785,201785,201785,201785,201785,201785,201785
"Equatorial Guinea",0,0,12,315,1306,2001,4821,4941,5030,5088,5153,5277,5516,6005,6914,7694,8529,8734,8880,9477,12362,13368,13592,13710,15802,15884,16000,16001,15921,16034,16723,16956,17012,17171,17183,17186,17190,17229,17229
"Eritrea",0,0,15,39,39,203,279,319,375,463,577,1320,2135,2847,3285,3671,4094,6009,6547,6642,6722,6834,7358,8011,9536,9701,9728,9734,9759,9799,10045,10154,10170,10189,10189,10189,10189,10189,10189
"Estonia",0,1,745,1689,1869,1989,2064,2375,3371,4905,12308,27990,44208,65600,106424,122019,129544,131064,133557,141956,156257,193969,222584,241408,337543,494430,556304,572193,576870,580114,586399,597838,601993,606633,609297,611891,613903,615119,615433
"Eswatini",0,0,9,100,285,812,2648,4577,5482,5917,6419,9358,15711,17014,17337,18458,18595,19084,25979,43371,45924,46421,46656,66109,68367,69160,69771,70643,72510,73109,73280,73367,73390,73558,73770,74021,74133,74199,74267
"Ethiopia",0,0,26,131,1172,5846,17530,52131,75368,96169,110074,124264,137650,159072,206589,257442,271541,276174,280365,308134,345674,365167,371536,420342,465158,468727,469758,470568,472743,488724,492237,493190,493579,493960,494578,498001,499531,499986,500116
"Fiji",0,0,5,18,18,18,27,28,32,34,42,49,55,59,67,117,438,4418,29781,46716,51023,52141,52506,53332,62855,63930,64404,64634,65007,65713,67549,68153,68242,68264,68375,68702,68820,68889,68898
"Finland",1,8,1672,5336,6974,7259,7467,8202,10239,16444,25521,36422,45546,58095,78043,87131,92715,96009,107458,127975,142110,159424,188390,270829,489870,637757,883676,1023013,1092193,1145610,1171034,1258798,1292940,1348737,1394254,1438205,1458619,1462169,1463644
"France",5,100,52281,169098,190975,204244,227239,321160,605893,1414396,2276830,2677660,3255994,3815688,4705186,5677829,5978761,5837403,6190621,6835022,7106028,7268527,7778575,10077783,19266496,22877926,25803173,28835895,29711870,31285317,33997224,34745833,35608285,37033519,38046448,39498188,39729161,39827175,39866718
"Gabon",0,0,16,276,2655,5394,7352,8533,8766,8968,9214,9571,10748,14564,19550,23075,24429,24984,25384,25888,30155,35525,37342,41798,46925,47543,47584,47602,47650,47939,48511,48649,48691,48945,48973,48980,48981,48981,48981
"Gambia",0,0,4,11,25,49,498,2963,3579,3672,3742,3797,4090,4712,5459,5898,5993,6079,7709,9698,9934,9965,9989,10170,11842,11939,11988,11995,12002,12002,12078,12311,12508,12580,12586,12586,12586,12586,12598
"Georgia",0,1,110,539,783,928,1168,1487,6192,38936,135584,227420,258111,270758,281761,310310,343963,366078,419534,549811,613012,719247,845643,934741,1175923,1605472,1648264,1655098,1657154,1660429,1686218,1735682,1780691,1780691,1805698,1808820,1814180,1825598,1827537
"Germany",5,66,61913,159119,181482,194259,208698,242381,289219,518753,1053869,1719737,2216363,2442336,2808873,3381597,3681126,3728141,3766765,3942856,4227501,4559120,5836813,7109182,9815533,14745107,21104509,24710769,26305996,28180861,30787309,32145157,33312373,35571131,36463485,37369866,37779833,38168908,38249060
"Ghana",0,0,161,2074,8070,17741,35501,44298,46626,48055,51667,54771,67010,84023,90583,92562,93898,95914,103019,119436,127482,130077,130920,142986,156920,159674,160971,161173,161370,166133,168007,168580,169100,170707,171009,171048,171112,171172,171229
"Greece",0,4,1156,2591,2917,3409,4477,10317,18475,39251,105271,138850,156957,191100,263689,345033,402306,422456,493304,587964,655767,742170,938903,1210853,1940723,2421664,3030429,3323922,3453229,3676502,4349423,4762827,4920192,5135200,5404690,5548487,5548487,5548487,5548487
"Grenada",0,0,9,20,23,23,24,24,24,28,41,127,148,148,155,160,161,161,164,461,5195,5840,5897,6181,12336,13696,14012,14629,17750,18357,18786,19289,19536,19591,19631,19644,19680,19680,19680
"Guatemala",0,0,38,599,5087,18096,49789,74074,91746,107939,122062,138012,159504,174542,193834,227671,254417,293583,368484,470277,560315,601572,617984,628359,690290,776991,828874,846546,861002,910714,1042376,1101954,1124467,1140499,1156468,1204132,1227853,1236406,1238247
"Guinea",0,0,22,1495,3706,5391,7308,9409,10652,12072,13119,13722,14546,15992,19908,22215,23177,23770,25688,29501,30411,30653,30770,32051,36166,36397,36459,36549,36764,36817,37408,37470,37652,38047,38153,38210,38240,38267,38267
"Guinea-Bissau",0,0,8,205,1256,1654,1981,2205,2324,2413,2441,2452,2634,3262,3650,3734,3766,3859,4479,5799,6107,6134,6440,6484,7586,8001,8149,8202,8269,8348,8412,8491,8796,8848,8848,8947,8947,8953,8960
"Guyana",0,0,20,82,153,245,413,1306,2894,4162,5406,6332,7641,8585,10249,13283,16952,20055,22523,25548,31827,35548,37874,39573,59889,62921,63253,63473,64763,67395,69807,71035,71340,71437,71620,72163,72950,73069,73075
"Haiti",0,0,15,76,1584,5847,7378,8209,8740,9054,9272,9999,11672,12531,12816,13149,15123,18844,20326,21047,22173,24091,25351,26169,29477,30350,30563,30703,30892,31677,32405,33551,33733,33811,33846,33893,34076,34143,34202
"Honduras",0,0,141,771,5202,19558,42014,61014,76900,96888,108253,121827,147843,170304,189043,212333,238227,262760,297111,338757,365994,375381,377859,379402,391874,411212,421062,423179,425371,427355,439901,453443,456391,456988,458023,465915,470757,472116,472250
"Hungary",0,0,492,2775,3876,4155,4505,6139,26461,75321,217122,322514,367586,428599,652433,779348,804538,808128,809491,812337,822705,863419,1103108,1256415,1553405,1787544,1851871,1901017,1917777,1928125,1965481,2048547,2094142,2141513,2166352,2185816,2191827,2194969,2196804
"Iceland",0,1,1135,1797,1806,1824,1885,2107,2728,4865,5392,5754,6002,6049,6205,6472,6576,6649,7959,10789,11801,13492,17894,27059,67673,129844,181391,185579,188291,193987,202157,204717,205637,206356,207101,207974,208688,209093,209137
"India",1,3,1397,34863,190609,585481,1695988,3691166,6312584,8184082,9462809,10286709,10757610,11112241,12221665,19164969,28175044,30411634,31655824,32810845,33766707,34285814,34596776,34861579,41469499,42931045,43025775,43079188,43160832,43469234,44036275,44436339,44591112,44654638,44673863,44679873,44684120,44687837,44690738
"Indonesia",0,0,1528,10118,26473,56385,108376,174796,287008,410088,538883,743198,1078314,1334634,1511712,1668368,1821703,2178272,3409658,4089801,4215104,4244358,4256409,4262720,4353370,5564448,6012818,6046796,6054973,6088460,6207098,6358808,6431624,6493079,6664844,6719815,6730016,6736046,6738225
"Iraq",0,13,694,2085,6439,49109,124609,234934,362981,472630,552549,595291,619636,695489,850924,1065199,1201352,1345904,1626599,1888150,2003303,2055248,2081172,2093740,2210582,2302793,2319550,2325092,2328154,2348662,2444798,2457871,2459982,2461484,2463724,2465107,2465545,2465545,2465545
"Ireland",0,1,3235,20612,24990,25473,26065,28811,36155,61456,72544,91779,196547,219592,235854,248870,262043,271931,300976,352447,389932,445594,570115,788559,1183008,1300422,1459425,1517112,1561632,1600614,1644166,1656956,1663653,1672319,1680548,1687668,1700253,1703244,1704502
"Israel",0,6,5717,15896,17079,25438,71734,116906,247411,314349,337191,423262,643435,775807,833105,838481,839475,841777,874018,1066352,1282218,1327458,1343660,1383932,2900569,3634503,3918225,4076104,4138515,4353033,4582056,4633417,4662570,4684451,4722410,4763676,4786180,4799274,4803824
"Italy",2,1128,105792,205463,232997,240578,247537,269214,314861,679430,1601554,2107166,2553032,2925265,3584899,4022653,4217821,4259909,4350028,4539991,4672355,4771965,5028547,6125683,10983116,12782836,14642354,16463200,17421410,18523111,21040025,21867757,22467278,23531023,24260660,25143705,25453789,25576852,25603510
"Jamaica",0,0,36,422,586,702,878,2459,6482,9094,10763,12827,15653,23263,39237,45578,48557,50124,52895,68131,83737,89014,91249,93920,124512,127986,128757,129978,137266,142804,146372,149798,151829,151931,152517,152758,153407,154065,154416
"Japan",15,245,2255,14284,16741,18605,36256,68385,83579,101323,148824,235749,390740,432636,475086,592771,746487,799583,926604,1494372,1705072,1722343,1726798,1733307,2743726,5012908,6565019,7883149,8853455,9332302,12795382,18966848,21293921,22324592,24815308,29234677,32555047,33227230,33320438
"Jordan",0,0,274,453,739,1132,1223,2034,11825,72607,219430,294494,326855,391090,611577,711373,736534,751404,770712,797126,823919,862541,953943,1063405,1225309,1631708,1692485,1695745,1696937,1699197,1709879,1735495,1746997,1746997,1746997,1746997,1746997,1746997,1746997
"Kazakhstan",0,0,343,3402,10858,22308,90367,130673,140707,149699,174563,201196,235844,262715,297472,375539,442935,482686,641388,863581,962842,1020264,1054972,1072518,1325293,1390670,1393802,1394493,1394867,1395849,1439725,1478394,1483609,1484932,1485635,1488306,1496549,1498668,1498668
"Kenya",0,0,59,396,1962,6366,20636,34201,38529,55192,83618,96458,100773,105973,134058,159318,170735,184161,203213,235863,249434,253310,255088,295028,321381,322946,323423,323773,324976,333694,337622,338183,338434,339147,341636,342499,342810,342912,342937
"Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,460,2914,3066,3081,3098,3236,3430,3430,3430,3430,3430,3430,5008,5013,5014
"Kuwait",0,45,289,4024,27043,46195,66957,85109,105182,125926,142635,150584,165257,190852,232103,273991,309222,356687,397831,409860,411655,412678,413362,417135,545717,619894,628978,631409,633225,643004,653730,657395,658520,662073,662672,662747,662858,663456,663860
"Kyrgyzstan",0,0,107,746,1748,5506,35805,43898,46669,58878,73178,81034,84588,86251,88538,95275,104729,125003,162892,175734,178532,181259,183351,184689,198316,200527,200935,200992,200993,201053,202685,205716,206083,206452,206530,206557,206592,206633,206708
"Latvia",0,0,398,858,1066,1118,1231,1396,1824,5894,17075,40904,66241,86186,102363,118558,133199,137429,138863,142637,158291,219139,253659,276674,392764,653120,798895,822013,828614,835797,861724,899133,930254,952099,963451,973830,975282,975999,976255
"Lebanon",0,4,470,725,1220,1778,4555,17308,39634,81228,127944,181503,301052,375050,468400,526578,540388,544866,561380,602266,624230,642024,670656,727930,921208,1068710,1092157,1096955,1099199,1112199,1173871,1209478,1215805,1218779,1220560,1222515,1228639,1231840,1232828
"Lesotho",0,0,0,0,2,27,604,1085,1595,1953,2109,3094,8664,10491,10706,10731,10831,11344,12908,14395,14395,21635,21779,28408,32176,32612,32910,33015,33358,33938,34040,34206,34490,34490,34490,34490,34790,34790,34790
"Liberia",0,0,6,141,280,770,1181,1303,1339,1426,1598,1800,1939,2010,2053,2099,2179,3900,5404,5594,5915,5812,5824,6278,7272,7384,7400,7434,7456,7497,7538,7883,7961,7996,8022,8043,8062,8077,8090
"Libya",0,0,10,61,156,824,3621,13966,34525,61095,82809,100277,118631,133338,158957,177508,185776,193474,249114,308972,340084,357338,372636,388734,429666,494446,501705,501904,502016,502138,503611,506790,506994,507051,507084,507142,507162,507174,507187
"Lithuania",0,0,353,1311,1606,1748,2016,2865,4759,15699,62498,145052,184448,199163,216121,247458,274758,279154,283198,299461,332553,410809,473717,524427,705158,965873,1110803,1149993,1154914,1161146,1183422,1218327,1250158,1268046,1276076,1288374,1296493,1304750,1307448
"Luxembourg",0,1,2178,3784,4018,4299,6695,7928,8509,17134,34678,46415,50388,55110,61642,67205,69932,70787,73870,75760,78219,81683,89181,103766,157985,183177,215831,237856,247935,263387,282252,286827,291758,302221,306843,311746,314731,315945,317367
"Madagascar",0,0,57,128,771,2214,10868,14863,16408,17111,17341,17714,19065,19831,24426,37014,41342,42216,42663,42869,42898,43626,44330,50279,59319,63659,64009,64152,64377,65381,66491,66626,66676,66749,67259,67735,67827,67865,67889
"Malawi",0,0,0,37,284,1224,4078,5566,5773,5930,6028,6583,23963,31945,33551,34078,34338,36126,52347,60494,61580,61796,61916,75075,84475,85339,85640,85781,85985,86506,87410,87860,88028,88073,88099,88220,88559,88681,88707
"Malaysia",8,29,2766,6002,7819,8639,8976,9340,11224,31548,65697,113010,214959,300752,345500,408713,572357,751979,1113272,1746254,2245695,2471642,2632782,2758086,2870758,3442736,4201919,4448004,4506510,4566055,4680053,4782624,4840879,4902964,4992168,5026677,5036593,5042791,5044718
"Maldives",0,0,18,468,1773,2361,3793,7804,10291,11659,13011,13757,15841,19793,24079,29835,64396,73798,77432,81112,84809,87638,91650,95700,138880,170192,177000,179171,179753,181586,184302,184856,185042,185364,185618,185678,185715,185732,185738
"Mali",0,0,28,490,1265,2181,2535,2776,3118,3554,4710,7090,8091,8376,10042,13858,14267,14426,14584,14889,15219,16073,17434,21008,30052,30381,30484,30833,31097,31165,31228,31412,32638,32733,32760,32770,32783,33018,33062
"Malta",0,0,169,465,618,670,824,1883,3058,6042,9873,12774,17903,22482,29033,30292,30535,30623,34295,36171,37149,37653,39435,52473,67717,71275,79539,91741,94742,103132,112828,114050,114692,115349,115818,116384,117062,117477,117610
"Marshall Islands",0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,17,17,18,64,15042,15305,15389,15541,15547,15584,15598,15649
"Mauritania",0,0,6,8,530,4363,6310,7048,7502,7703,8601,14364,16635,17207,17847,18402,19547,20808,25691,33580,36030,37320,39266,41473,58243,58633,58669,58710,59141,59814,62572,62765,62815,63364,63420,63425,63665,63667,63668
"Mexico",0,4,1215,19224,90664,226089,424637,599560,743216,924962,1113543,1426094,1864260,2086938,2238887,2344755,2413742,2519269,2848252,3352410,3664223,3807211,3884566,3979723,4942590,5508629,5659535,5739680,5775977,6034602,6711847,7014510,7089209,7111104,7125443,7234467,7368252,7451429,7483444
"Monaco",0,1,52,95,99,103,120,154,218,359,609,875,1489,1956,2288,2454,2504,2577,2889,3201,3314,3414,3738,4985,8183,9359,10758,11770,12216,13006,14059,14379,14622,14963,15442,15948,16063,16108,16121
"Mongolia",0,0,12,38,179,220,291,301,313,340,784,1195,1779,2907,8447,35979,58439,115478,165147,214015,382497,590800,668402,692621,841848,908157,919188,920781,925073,928586,943690,978960,982864,984823,992767,1007266,1007871,1007896,1007900
"Montenegro",0,0,109,322,324,548,3073,4835,10772,18341,35265,48247,61659,75834,91218,97389,99623,100252,101927,115385,131499,144314,157376,170034,219775,230207,233102,235228,237223,240222,259349,275538,280182,282764,283719,284756,286355,288280,288808
"Morocco",0,0,617,4423,7807,12533,24322,62590,123653,219084,356336,439193,471157,483654,496097,511249,519216,531361,623528,860948,933071,946145,949917,963092,1132716,1160975,1163274,1164953,1168303,1216909,1260978,1264435,1264945,1265601,1268823,1271595,1272240,1272454,1272490
"Mozambique",0,0,8,76,254,889,1864,3916,8728,12869,15701,18642,38654,59350,67579,69917,70795,76404,122028,146316,150723,151292,151548,189080,223827,225047,225256,225384,225754,227919,229580,230076,230312,230475,230624,230970,231994,233098,233214
"Namibia",0,0,11,16,24,205,2129,7550,11265,12935,14380,23941,33944,38845,44139,48351,55549,89917,118922,125046,127589,128927,129187,147974,155899,157225,157646,158649,166363,169179,169253,169253,169253,169908,169946,170295,170741,171156,171156
"Nauru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3394,4407,4610,4611,4611,4621,4621,4621,5247,5247
"Nepal",1,1,5,57,1572,13564,19771,39460,77817,170743,233452,260593,270959,274143,277309,323187,561302,638805,695389,762647,795061,812570,821366,828431,953913,976984,978426,978810,979140,979694,986596,997346,999742,1000556,1000889,1001000,1001100,1001145,1001154
