"country","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"Sao Tome and Principe",0,0,0,14,483,714,871,896,911,945,991,1014,1257,1786,2223,2302,2345,2366,2454,2608,3459,3714,3731,3897,5890,5934,5945,5957,5991,6043,6100,6153,6230,6266,6278,6279,6280,6281,6281
"Saudi Arabia",0,0,1563,22753,85261,190823,275905,315772,334605,347282,357360,362741,368074,377383,390007,417363,450436,487592,525730,543318,547134,548617,549752,556236,687264,745027,750814,754011,768079,795186,809672,813461,816498,822459,825597,827004,827962,829478,830127
"Senegal",0,0,175,933,3645,6793,10232,13611,14982,15616,16089,19140,26523,34520,38705,40344,41416,43128,62290,72805,73775,73917,73987,75055,84999,85693,85895,85997,86111,86325,87386,88098,88398,88679,88873,88900,88902,88917,88926
"Serbia",0,0,900,9009,11412,14564,25552,31406,33551,46954,175438,337923,395263,459259,600596,689557,712472,716562,721918,762933,941989,1142749,1254845,1299339,1677798,1910975,1976567,2006353,2017454,2029403,2123025,2283195,2361738,2404112,2423385,2446253,2471198,2492563,2500142
"Seychelles",0,0,10,11,11,81,114,131,141,152,172,226,1186,2592,4114,5838,11468,15671,18328,20038,21473,22243,23417,24788,37190,39336,40421,42502,44016,44669,45429,46081,47141,49035,50068,50355,50665,50665,50665
"Sierra Leone",0,0,1,124,861,1462,1823,2022,2231,2366,2412,2611,3593,3887,3980,4054,4147,5575,6283,6367,6394,6397,6402,7064,7623,7665,7674,7681,7682,7695,7734,7747,7751,7754,7759,7760,7760,7760,7760
"Singapore",13,102,926,16169,34884,43907,52205,56812,57765,58015,58218,58599,59536,59936,60381,61145,62051,62579,64981,67620,96521,198374,264725,279405,352811,724424,1096428,1193250,1303294,1444068,1714056,1839244,1907907,2102372,2167897,2202214,2217110,2226397,2235294
"Slovakia",0,0,363,1396,1521,1667,2292,3917,10141,59823,121347,274603,436016,588671,707876,754078,771008,775011,776444,779767,804372,898926,1170200,1371082,1569299,2119358,2443137,2528216,2542564,2551116,2581047,2584276,2625317,2643182,2650230,2657292,2660689,2665303,2667551
"Slovenia",0,0,802,1429,1473,1600,2156,2883,5690,34307,75814,122152,166473,190081,215602,240292,253722,257335,259215,267198,293364,335850,420898,464048,710821,892620,968109,1010058,1025030,1038716,1083067,1126715,1183392,1233482,1258446,1307442,1321579,1328222,1331707
"Solomon Islands",0,0,0,0,0,0,0,0,0,8,17,17,17,18,19,20,20,20,20,20,20,20,20,24,1183,7049,11470,14786,18174,21544,21544,21544,21544,21544,24575,24575,24575,24575,24575
"Somalia",0,0,5,601,1976,2924,3212,3310,3588,3941,4451,4714,4784,7257,11398,13915,14662,14946,15403,17466,19980,21998,23016,23532,25388,26313,26410,26485,26565,26803,26957,27020,27214,27237,27286,27300,27318,27324,27324
"South Africa",0,0,1353,5647,32683,151209,493183,627041,674339,725452,790004,1057161,1453761,1513393,1548157,1581210,1665617,1973972,2447454,2777659,2902672,2922116,2968052,3458286,3605222,3674042,3718953,3791125,3957777,3993444,4005124,4011937,4019077,4028308,4041890,4049202,4055966,4063573,4067067
"South Sudan",0,0,0,35,994,2007,2322,2527,2704,2905,3109,3558,3929,7926,10165,10583,10688,10834,11049,11436,12010,12361,12758,15242,16794,16973,17262,17461,17617,17722,17733,17823,17823,17823,18350,18368,18368,18368,18368
"Spain",0,45,95923,213435,239479,249271,288522,462858,769188,1185678,1648187,1928265,2743119,3188553,3284353,3524077,3678390,3808960,4447044,4855065,4959091,5011148,5164184,6294745,9961253,10977524,11508309,11896152,12326264,12734038,13226579,13342530,13422984,13511768,13595504,13684258,13731478,13763336,13770429
"Sri Lanka",1,1,143,663,1633,2047,2815,3049,3380,10663,23987,43299,64157,83094,92706,108146,186364,259089,308812,440302,517377,541073,563989,587245,611185,646034,661631,663362,663834,664123,665739,669957,670773,671087,671682,671891,671989,672030,672039
"Sudan",0,0,7,375,4800,9372,11579,13189,13646,13804,18045,25500,29380,30347,31833,33944,35495,36658,37138,37709,38283,40433,43084,46518,57632,61458,61955,62117,62355,62624,63006,63228,63285,63481,63637,63686,63742,63787,63829
"Suriname",0,0,9,10,23,515,1650,4034,4877,5203,5312,6210,8438,8929,9122,10363,14954,21732,25351,29293,41631,49019,50848,52446,73769,78216,79221,79336,80547,80864,80966,81039,81106,81185,81581,81581,82020,82227,82467
"Sweden",0,14,4834,21601,38661,67924,77076,84379,92863,124355,243129,437379,566957,657309,804886,973604,1068473,1089990,1100040,1126813,1152886,1171512,1204859,1314784,2070456,2441142,2487852,2500917,2507948,2519199,2539715,2564423,2588441,2611580,2626686,2674862,2693458,2697827,2699339
"Switzerland",0,18,16605,29586,30862,31714,35232,42177,53282,154251,327072,452296,521320,554932,601124,659974,694740,703004,717665,779666,840363,872558,1014662,1332615,2220539,2801951,3497499,3619598,3674986,3759730,3949259,4045011,4103959,4232022,4337983,4399516,4407915,4412439,4413911
"Tajikistan",0,0,0,0,3807,5900,7366,8550,9726,10977,12155,13665,13714,13714,13714,13714,13714,13905,15482,17252,17484,17486,17493,17493,17706,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786
"Thailand",19,42,1651,2954,3081,3171,3310,3412,3564,3780,3998,6884,18782,25951,28863,65153,159792,259301,597287,1204729,1603474,1912024,2115872,2223435,2440542,2891927,3628347,4250949,4450457,4522915,4592284,4652923,4682132,4692448,4707244,4721808,4726984,4728035,4728182
"Timor-Leste",0,0,1,24,24,24,24,27,28,30,30,44,70,113,604,2276,6994,9222,10898,16682,19498,19790,19823,19837,19946,22693,22830,22865,22915,22957,22999,23170,23257,23301,23343,23386,23415,23418,23419
